Id,Label,timeset,value,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality,pageranks,Authority,Hub
Corynebacterium_imitans,Corynebacterium,,0,186,271.22,4,0.538114,0.598239,0.000296,2,0,0.732868,12609,0.27313,0.000824,0.015833,0.015833
Microbacterium_aurum,Microbacterium,,0,161,231.259999,4,0.528553,0.582533,0.0008,2,0,0.687888,8860,0.236135,0.000759,0.013694,0.013694
Staphylococcus_agnetis,Staphylococcus,,0.01,176,243.92,3,0.539159,0.594638,0.002149,3,0,0.708052,10904,0.278668,0.000878,0.016224,0.016224
Corynebacterium_lactis,Corynebacterium,,0,94,130.14,4,0.493776,0.533613,0.001183,2,0,0.772821,3378,0.118947,0.000576,0.006866,0.006866
Cellulomonas_gilvus,Cellulomonas,,0,248,367.58,4,0.563981,0.637255,0.000274,2,0,0.758554,23233,0.398556,0.001006,0.023162,0.023162
Pseudarthrobacter_sulfonivorans,Pseudarthrobacter,,0,183,271.320001,4,0.537419,0.596639,0.000327,2,0,0.79307,13207,0.280176,0.000815,0.016264,0.016264
Nocardia_farcinica,Nocardia,,0,231,320.5,3,0.563218,0.629852,0.000458,2,0,0.692641,18400,0.365971,0.000959,0.021283,0.021283
Fusobacterium_periodonticum,Fusobacterium,,0.81,144,209.28,3,0.525221,0.573629,0.00046,2,0,0.762335,7849,0.199083,0.00072,0.01152,0.01152
Actinomyces_meyeri,Actinomyces,,0.06,337,498.88,4,0.606701,0.693577,0.000514,2,0,0.705295,39931,0.561109,0.001288,0.03264,0.03264
Fusobacterium_hwasookii,Fusobacterium,,0.81,73,101.7,4,0.492026,0.52411,0.00131,2,0,0.700913,1842,0.095983,0.000532,0.005546,0.005546
Corynebacterium_argentoratense,Corynebacterium,,0,106,149.36,4,0.496424,0.540216,0.000025,2,0,0.886433,4933,0.152491,0.000537,0.008833,0.008833
Collinsella_aerofaciens,Collinsella,,0,69,94.14,4,0.494656,0.52411,0.000371,3,0,0.665388,1561,0.101538,0.000482,0.005905,0.005905
Actinomyces_radicidentis,Actinomyces,,0.06,326,482.6,3,0.603186,0.687475,0.000759,2,0,0.708561,37536,0.541639,0.001269,0.031503,0.031503
Streptobacillus_moniliformis,Streptobacillus,,0,357,517,4,0.622106,0.708383,0.001573,0,0,0.680877,43267,0.603245,0.001413,0.035133,0.035133
Finegoldia_magna,Finegoldia,,0,357,505.439999,4,0.618871,0.707083,0.000722,0,0,0.693985,44100,0.621231,0.001353,0.0362,0.0362
Corynebacterium_deserti,Corynebacterium,,0,270,395.3,4,0.572115,0.65016,0.000323,2,0,0.748368,27177,0.449991,0.00107,0.026177,0.026177
Actinomyces_oris,Actinomyces,,0.06,334,473.78,3,0.613854,0.695478,0.002379,0,0,0.679686,37798,0.566929,0.001379,0.032999,0.032999
Campylobacter_curvus,Campylobacter,,1,20,27.7,4,0.435669,0.459284,0.00007,2,0,0.421053,80,0.009549,0.000335,0.000529,0.000529
Actinomyces_naeslundii,Actinomyces,,0.06,309,434.64,4,0.596705,0.677771,0.002305,0,0,0.67461,32102,0.517486,0.001317,0.030114,0.030114
Mannheimia_varigena,Mannheimia,,0.01,295,423.74,4,0.583333,0.665766,0.000421,0,0,0.741289,32146,0.51362,0.001155,0.029916,0.029916
Scardovia_inopinata,Scardovia,,0,35,48.36,4,0.473295,0.495398,0.000372,0,0,0.4,238,0.022968,0.000447,0.0013,0.0013
Staphylococcus_warneri,Staphylococcus,,0.01,328,473.359998,4,0.607143,0.690176,0.000737,0,0,0.687048,36845,0.552037,0.001283,0.032133,0.032133
Bifidobacterium_pseudolongum,Bifidobacterium,,0,252,357.600001,4,0.571723,0.642857,0.00042,2,0,0.726017,22961,0.416588,0.001023,0.024236,0.024236
Corynebacterium_frankenforstense,Corynebacterium,,0,246,363.62,4,0.561699,0.635354,0.000254,2,0,0.754637,22741,0.394499,0.000995,0.022928,0.022928
Dermabacter_vaginalis,Dermabacter,,0,397,585.34,4,0.639294,0.731693,0.00079,2,0,0.697046,54792,0.68502,0.001483,0.039889,0.039889
Lactobacillus_curvatus,Lactobacillus,,0.01,381,559.66,4,0.63346,0.722789,0.001039,0,0,0.678892,49145,0.648458,0.001446,0.037756,0.037756
Neomicrococcus_aestuarii,Neomicrococcus,,0,216,316.92,4,0.550198,0.617047,0.00025,2,0,0.760164,17651,0.343004,0.000907,0.019924,0.019924
Corynebacterium_halotolerans,Corynebacterium,,0,206,305.58,4,0.543379,0.609244,0.000193,2,0,0.775847,16382,0.320631,0.000869,0.018616,0.018616
Microcella_alkaliphila,Microcella,,0,265,385.399999,4,0.568601,0.646459,0.000213,2,0,0.768611,26886,0.443552,0.001043,0.025815,0.025815
Bifidobacterium_actinocoloniiforme,Bifidobacterium,,0,170,252,4,0.529561,0.586735,0.000126,2,0,0.808075,11608,0.257193,0.000753,0.01492,0.01492
Bifidobacterium_thermophilum,Bifidobacterium,,0,232,344.640001,4,0.555333,0.626251,0.000187,2,0,0.786908,21086,0.375802,0.000947,0.021844,0.021844
Kytococcus_sedentarius,Kytococcus,,0,260,376.939999,4,0.570548,0.645458,0.000241,2,0,0.767835,25853,0.432257,0.001036,0.025151,0.025151
Vibrio_fischeri,Vibrio,,0,400,586.98,4,0.639294,0.732893,0.000979,0,0,0.682431,54458,0.684512,0.001499,0.039857,0.039857
