Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub,componentnumber,pageranks,clustering,triangles,eigencentrality,value
Aerococcus_urinae,Aerococcus,,10,19.7,2,0.75,0.833333,0,2,0,0,2,0.001154,1,45,0.001558,0.66
Aminobacterium_colombiense,Aminobacterium,,10,19.7,2,0.75,0.833333,0,2,0,0,2,0.001154,1,45,0.001558,0.08
Tenericutes_bacterium,Tenericutes,,10,19.7,2,0.75,0.833333,0,2,0,0,2,0.001154,1,45,0.001558,0.04
Mycoplasma_penetrans,Mycoplasma,,10,19.7,2,0.75,0.833333,0,2,0,0,2,0.001154,1,45,0.001558,10.28
Streptococcus_pseudopneumoniae,Streptococcus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,548
Streptococcus_vestibularis,Streptococcus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,548
Cardiobacterium_hominis,Cardiobacterium,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.8
Dermabacter_jinjuensis,Dermabacter,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.52
Vagococcus_teuberi,Vagococcus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.41
Anaerococcus_mediterraneensis,Anaerococcus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,1.08
Streptococcus_ferus,Streptococcus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,548
Streptococcus_troglodytae,Streptococcus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,548
Denitrobacterium_detoxificans,Denitrobacterium,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.25
Corynebacterium_aquilae,Corynebacterium,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,13.72
Streptococcus_pantholopis,Streptococcus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,548
Enterococcus_wangshanyuanii,Enterococcus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.81
Gottschalkia_acidurici,Gottschalkia,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.25
Lactobacillus_terrae,Lactobacillus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,2.19
Corynebacterium_rouxii,Corynebacterium,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,13.72
Altererythrobacter_atlanticus,Altererythrobacter,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.06
Lactococcus_piscium,Lactococcus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.24
Glutamicibacter_creatinolyticus,Glutamicibacter,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,0.19
Lactobacillus_zhachilii,Lactobacillus,,46,91.460001,2,0.709091,0.794872,0,7,0,0,7,0.001233,1,1035,0.034475,2.19
