Species;EMCF01;EMCF02;EMCF03;EMCF04;EMCF05;EMCF06;EMCF09;EMCF10;EMCF13;EMCF14;EMCF16;EMCF17;EMCF18;EMCF19;EMCF21;EMCF22;EMCF25;EMCF26;EMCF27;EMCF28;EMCF29;EMCF30;EMCF31;EMCF32;EMCF33;EMCF34;EMCF35;EMCF36;EMCF37;KGCF01;KGCF02;KGCF03;KGCF04;KGCF05;KGCF06;KGCF07;KGCF10;KGCF11;KGCF12;KGCF13;KGCF14;KGCF15;KGCF16;KGCF17;KGCF18;KGCF19;KGCF21;KGCF22;KGCF24;KGCF25;KGCF27;KGCF28;KGCF29;KGCF30;KGCF32;KGCF33;KGCF34;KGCF35;KGCF36;KGCF37;KGCF38;KGCF39;KGCF40;KGCF41;KGCF42;KGCF43;KGCF44;KGCF45;KGCF46;KGCF47;KGCF48;KGCF49;KGCF50;KGCF51;KGCF52;KGCF53;KGCF55;KGCF56;KGCF57;KGCF58;MCF01s1;MCF02s1;MCF03s1;MCF04s1;MCF05s1;MCF06s1;MCF07s1;MCF08s1;MCF09s1;MCF10s1;MCF11s1;MCF12s1
Pandoraea pnomenusa;0;0;0;0;0;0;0;0.0001;0;0;0.0001;0;0;0;0.0018;0;0;0.0001;0;0;0.0003;0;0;0;0;0.0002;0;0;0;0;0;0;0;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0004;0.0003;0;0;0.0004;0;0;0;0.0011;0;0.0003;0.0003;0;0;0;0;0;0;0;0;0;0;0;0.0002;0;0.0003;0;0;0.0002;0;0;0;0;0;0;0;0;0;0.0002;0.0001;0;0;0;0;0.001
Pandoraea oxalativorans;0;0;0;0;0;0;0;0;0;0;0.0003;0.0001;0;0;0.0004;0;0;0;0;0;0;0.0001;0;0;0;0.0001;0;0;0;0;0;0;0;0;0.0002;0;0;0;0.0007;0.0003;0;0;0;0;0;0;0;0.0001;0.0002;0;0.0001;0.0001;0.0001;0;0;0.0001;0;0;0;0;0.0003;0;0;0;0.0011;0;0;0;0;0;0.0002;0;0.0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pandoraea norimbergensis;0;0;0;0;0;0;0;0;0;0.0001;0;0.0004;0;0;0.0013;0;0;0.0005;0;0;0.0003;0;0;0;0;0.0003;0;0;0;0.0001;0;0;0.0002;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0001;0;0;0;0;0;0;0.0006;0;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0002
Pandoraea faecigallinarum;0;0;0;0;0.0001;0;0;0.0001;0;0;0;0.0001;0;0;0.0016;0;0;0.0002;0;0;0;0;0;0;0.0001;0.0002;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0002;0.0002;0;0;0.0002;0.0001;0;0;0.0011;0;0.0004;0;0;0.0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0014;0;0;0;0;0;0.0002
Pandoraea apista;0;0;0;0;0.0001;0;0;0.0001;0;0;0.0001;0.0001;0;0;0;0;0;0;0;0;0;0.0002;0;0;0;0.0003;0;0;0;0;0;0;0;0.0001;0;0;0;0;0.0015;0;0;0;0.0012;0;0.0033;0;0;0;0.0001;0;0;0;0.0004;0;0;0.0005;0;0.0001;0.0001;0;0.0003;0;0.0031;0;0;0;0;0.0032;0;0;0.0025;0;0.0003;0.002;0;0;0;0;0;0;0;0;0;0;0;0.0002;0;0;0;0;0.0001;0.0002
Paludisphaera borealis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0.0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0017;0.0002;0.0002;0.0008;0.0002;0;0.0006;0.0002;0;0.0002;0.0009;0;0.0002;0;0.0034;0.0001;0;0;0;0.0016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paludibacter propionicigenes;0;0.0002;0.0001;0.0002;0.0009;0.0024;0.0158;0.0035;0;0;0.012;0.0007;0;0;0.0203;0;0.0003;0.0044;0;0.0019;0;0.0009;0.0005;0.0008;0;0.0071;0.0027;0.0025;0.0004;0.0025;0.0006;0;0.0066;0.0026;0.0145;0.0003;0.0006;0.0089;0.0076;0.0063;0.0471;0.0002;0.0053;0.161;0.005;0.0005;0.0195;0.011;0.0087;0.0469;0.0053;0.0039;0.0038;0.0012;0.0006;0.0061;0.0009;0.0195;0.0012;0.0018;0.0361;0;0.1446;0.0197;0;0.0008;0.0004;0.0273;0.0024;0;0.0174;0;0.0143;0.0364;0.0007;0.0005;0.0032;0.0003;0.0032;0.0213;0;0;0;0.0008;0;0.0007;0.011;0;0.0006;0.0004;0.0022;0.033
Paeniclostridium sordellii;0;0.0001;0.0011;0.0002;0.0028;0.005;0.0164;0.0038;0;0;0.0089;0.0005;0;0;0.0125;0;0.0002;0.0015;0;0.0037;0.001;0.0009;0.0002;0.0005;0.0005;0.0101;0.0025;0.0006;0.0001;0.0011;0;0.0001;0.0151;0.0014;0.0081;0.0004;0.0006;0.007;0.0063;0.0045;0.0593;0.0001;0.0127;0.2457;0.1555;0.0007;0.012;0.0078;0.0031;0.0267;0.0128;0.0087;0.0033;0.0003;0.0039;0.0044;0.0007;0.0038;0.0043;0.0009;0.0353;0.0001;0.046;0.0034;0.0245;0.0086;0.002;0.025;0.095;0;0.0113;0.0003;0.0102;0.0472;0.0014;0.0018;0.002;0.0003;0.0017;0.0068;0;0;0;0.0005;0.0037;0.0004;0.0005;0;0.0004;0.0006;0.0017;0.0148
Paenibacillus yonginensis;0;0;0;0;0.0001;0;0;0.0001;0;0;0.0003;0.0002;0;0;0.0017;0;0;0.0008;0;0;0;0.0001;0;0.0001;0.0001;0.0005;0.0006;0;0;0.0001;0.0001;0;0.002;0.0008;0.0004;0;0;0.0054;0.0008;0.0013;0.0099;0;0.0006;0;0;0.0001;0.0007;0;0.0005;0.0036;0.0002;0.0006;0.0013;0;0;0.0006;0;0.0017;0;0.0001;0.0018;0.0001;0.0086;0;0;0;0.0001;0.0024;0;0;0.0005;0;0;0;0;0;0.0008;0;0;0.0003;0.0002;0;0;0;0;0.0004;0;0;0;0;0;0.0002
Paenibacillus xylanexedens;0;0;0.0001;0;0;0.0004;0;0.0002;0;0;0.0003;0.0001;0;0;0.0005;0;0.0002;0.0006;0;0.0017;0.0003;0;0;0;0;0.0009;0;0.0002;0.0002;0.0002;0.0001;0;0.0002;0.0004;0.0009;0;0;0.0004;0.001;0.0007;0.0386;0;0.0087;0.0049;0.0026;0.0003;0.001;0.0008;0.0017;0.008;0.0005;0.0004;0.0005;0;0.0003;0.0008;0;0.0015;0.0001;0;0.0088;0;0.0183;0.0022;0;0;0.0001;0.0092;0.0013;0;0.0024;0.0001;0.0017;0.0063;0.0001;0;0.0001;0;0;0.0002;0;0;0;0;0;0;0;0;0;0;0;0.0003
Paenibacillus terrae;0;0;0;0;0;0.0001;0;0.0004;0;0;0.0025;0.0001;0;0;0.0014;0;0;0.0005;0;0.0015;0.0018;0.0002;0;0.0001;0.0001;0.0007;0;0.0001;0;0.0003;0;0;0.0004;0.0001;0.0009;0;0;0.0018;0.0011;0.0017;0.0081;0;0.0021;0.0459;0.0151;0;0.0022;0.0007;0.0013;0.002;0.0011;0.0007;0.0006;0;0;0.0002;0;0.0006;0;0;0.0005;0;0.0028;0.0001;0.0005;0.0005;0.0001;0.0068;0.0058;0;0.0034;0;0.0069;0.0368;0.0001;0.0002;0.0001;0.0001;0;0.0004;0;0;0;0;0;0;0.0003;0;0.0001;0;0.0001;0.0006
Paenibacillus swuensis;0;0;0;0;0;0;0;0.0003;0;0;0.0005;0;0;0;0.0011;0;0;0;0;0;0;0;0;0;0;0.0002;0.0001;0.0001;0;0;0;0;0;0;0.0002;0;0;0.0002;0.0006;0;0.0049;0.0002;0;0.007;0;0;0.0004;0.0003;0;0;0;0;0;0.0001;0;0.0011;0;0;0;0.0002;0.0003;0.0001;0.0017;0.0007;0;0;0.0001;0.0012;0;0;0.0014;0;0;0;0;0;0;0.0001;0;0.0015;0;0;0;0;0;0;0;0;0;0;0;0.0016
Paenibacillus stellifer;0;0;0;0;0;0;0;0.0005;0;0;0.0004;0;0;0;0.0009;0;0;0;0;0;0;0.0001;0;0;0;0.0006;0;0.0001;0;0.0004;0;0;0;0.0001;0.0013;0;0;0.0003;0.0059;0.0004;0.0175;0.0001;0.0006;0.0062;0;0;0.0018;0.0007;0.0004;0.0017;0.0011;0.0013;0.0008;0;0;0.0007;0;0.0001;0;0;0.0005;0;0.0243;0;0;0;0.0001;0.001;0;0;0.0002;0;0.0008;0.002;0;0;0.0004;0;0;0;0;0;0;0.0002;0;0;0.0008;0;0.0001;0;0;0.0004
Paenibacillus sp;0;0;0;0;0.0007;0.0002;0;0;0;0;0.002;0.0004;0;0;0.0044;0;0;0.0008;0;0.0003;0.0005;0.0006;0;0;0;0.001;0;0.0001;0;0.0005;0;0;0.0004;0.0005;0.0053;0;0;0.0002;0.0006;0.0032;0.0103;0.0001;0.0036;0.1894;0.0256;0;0.0008;0.0046;0.0013;0.0031;0.0018;0.0027;0.0005;0.0002;0.0003;0.0002;0;0.0006;0.0002;0.0001;0.0029;0;0.0478;0.0019;0.0004;0.0004;0.0005;0.0025;0;0;0.0075;0;0.0006;0.0031;0.0001;0.0001;0.0002;0.0001;0;0.0006;0;0;0;0.0001;0;0.0001;0.0003;0;0;0;0.0001;0.0053
Paenibacillus sabinae;0;0;0;0.0001;0;0.0003;0;0.0003;0;0;0.0006;0.0001;0;0;0.004;0;0;0.0005;0;0.0004;0.0003;0;0;0;0;0.0014;0;0.0005;0;0.0001;0;0;0;0.0011;0.0018;0;0;0.0005;0.0008;0.0002;0;0;0.0006;0.0795;0;0;0.0032;0.0006;0.0005;0.0021;0.0015;0.0004;0.0002;0;0.0004;0.0001;0;0.0005;0;0;0.0009;0.0001;0.0049;0;0;0;0;0.0079;0;0;0.0007;0;0.0049;0.0255;0;0;0.0016;0;0;0.0004;0;0;0;0.0002;0;0.0001;0.0001;0;0.0001;0;0;0.0002
Paenibacillus polymyxa;0;0;0;0.0001;0;0;0;0;0;0;0;0.0002;0;0;0.0001;0;0;0;0;0;0;0.0001;0;0;0;0.0002;0;0;0;0;0;0;0;0.0002;0.0003;0;0;0.0002;0.0005;0.0003;0.0161;0;0;0;0;0;0;0;0.0001;0;0;0;0.0001;0;0.0013;0;0;0;0;0;0.0003;0;0.0032;0;0;0;0.0001;0.0022;0;0;0.0002;0;0;0.0021;0;0;0.0007;0;0;0.0003;0;0;0;0;0;0;0;0;0;0;0;0
Paenibacillus peoriae;0;0;0;0;0;0;0;0;0;0;0;0.0001;0;0;0;0;0;0;0;0;0;0;0;0.0001;0;0.0003;0;0;0;0.0006;0;0;0;0.0011;0;0;0;0;0.0007;0;0;0;0;0;0;0.0001;0.0015;0.0004;0.0003;0;0.0002;0.0001;0.0001;0;0;0.0006;0;0.0002;0;0;0.0118;0;0.0229;0.0002;0;0;0.0003;0.0099;0;0;0;0;0;0;0;0;0;0;0;0.0011;0;0;0;0;0;0;0;0;0;0;0;0.0002
Paenibacillus odorifer;0;0;0.0001;0;0;0.0013;0;0.0002;0;0;0.0007;0;0;0;0.0009;0;0;0.0005;0;0.0007;0;0;0;0;0;0.0002;0.0003;0.0001;0;0.0001;0;0;0.0004;0.0002;0.0001;0;0;0.0005;0.0016;0;0.0036;0.0001;0.0009;0;0;0.0002;0.0007;0.0016;0.0005;0.0014;0.0005;0.0004;0.0011;0;0;0.0004;0;0.0006;0;0.0001;0.0146;0;0.0063;0;0;0;0;0.0009;0;0;0.0002;0;0.0011;0;0;0.0001;0.0001;0.0001;0;0.0001;0;0;0;0.0001;0.0001;0;0.0004;0;0;0;0.0001;0.0015
Paenibacillus naphthalenovorans;0;0;0;0.0001;0.0003;0.0001;0;0.0001;0;0;0.0014;0.0001;0;0;0;0;0.0002;0.0001;0;0;0;0.0005;0;0;0;0;0;0;0;0.0001;0;0;0;0.0003;0.0014;0;0;0;0;0.0002;0.0095;0.0001;0;0;0;0;0.0002;0.0005;0.0004;0.0011;0;0.0002;0.0003;0;0;0.0001;0;0.0004;0;0.0001;0.0009;0;0.0033;0;0;0;0;0.0046;0;0;0;0;0;0.0086;0;0;0;0;0;0;0;0;0;0;0.0001;0;0;0;0;0;0;0.0004
Paenibacillus mucilaginosus;0;0;0;0;0.0001;0.0001;0;0;0;0;0.0007;0;0;0;0.0006;0;0;0.0009;0;0;0;0;0;0.0001;0;0.0001;0.0001;0.0001;0.0001;0;0;0;0.0001;0.0005;0.0003;0;0.0005;0.0007;0;0.0004;0.0071;0.0001;0.0004;0.0242;0;0.0001;0.0001;0.0005;0.0006;0.0014;0;0.0001;0.0005;0;0.0003;0.0004;0;0.0006;0.0001;0;0.0026;0;0.003;0;0;0;0.0001;0.0027;0;0;0;0;0.0002;0;0;0;0.0005;0;0.0001;0;0;0;0;0.0001;0;0;0;0;0;0;0;0.0006
Paenibacillus kribbensis;0;0;0;0;0;0;0;0.0001;0;0;0;0;0;0;0.0009;0;0;0.0001;0;0;0;0;0;0;0;0.0001;0.0003;0;0;0.0002;0;0;0.0013;0.0001;0.0005;0;0;0.0002;0.0012;0;0;0;0.0006;0;0;0;0.0002;0.0001;0.0014;0.0002;0;0.0005;0;0;0;0.0002;0;0.0003;0.0001;0;0;0;0.003;0;0;0;0.0001;0.0051;0;0;0;0;0.0003;0.0019;0;0;0.0007;0;0;0.0001;0;0;0;0;0;0;0;0;0.0003;0;0;0
Paenibacillus graminis;0;0;0;0.0001;0.0002;0.0001;0;0.0001;0;0;0.0002;0;0;0;0;0;0;0;0;0.0003;0;0;0;0;0;0.0002;0.0003;0;0;0;0;0;0;0;0;0;0;0.0002;0.0004;0;0.0035;0;0;0;0;0;0.0011;0.0002;0.0003;0;0.0009;0.0004;0.0001;0;0;0.0005;0;0.0002;0.0015;0;0;0;0.0024;0.0002;0;0;0.0002;0.0008;0;0;0;0;0.001;0.0016;0;0;0;0;0;0.0001;0;0;0;0;0;0.0001;0;0;0;0;0.0001;0.0003
Paenibacillus durus;0;0;0;0;0;0.0007;0;0;0;0;0.0003;0.0001;0;0;0.0001;0;0.0001;0.0012;0;0.0024;0;0.0006;0;0.0001;0;0.0008;0;0.0002;0;0;0;0;0;0.0001;0.0017;0;0;0.0028;0.0009;0.0011;0.0205;0;0.0016;0.0983;0;0;0;0.0001;0.0006;0.0002;0.0002;0.001;0.0005;0.0001;0.0004;0;0;0.001;0.0003;0;0.0008;0;0.0384;0;0;0;0;0.002;0;0;0.001;0;0.002;0.0019;0;0;0.0009;0.0001;0.0001;0.001;0;0;0;0;0;0;0.0001;0;0;0;0.0001;0.0009
Paenibacillus donghaensis;0;0;0;0;0;0;0;0;0;0;0.0002;0.0001;0;0;0.0003;0;0;0.0002;0;0;0;0.0001;0;0.0001;0;0;0;0;0;0;0;0;0.0001;0.0002;0.0003;0;0;0.0007;0;0.0001;0.0029;0;0;0;0;0;0;0;0.0001;0.0005;0.0001;0;0;0;0;0.0002;0;0.0001;0.0001;0;0.0007;0;0.007;0;0;0;0;0;0;0;0;0;0.0004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0001;0;0.0003
Paenibacillus crassostreae;0;0;0;0.0001;0;0.0004;0;0.0003;0;0;0.0032;0.0001;0;0;0.0006;0;0.0002;0.0005;0;0.0031;0.0004;0;0.0001;0.0003;0.0001;0.0019;0.0006;0.0001;0.0002;0.0003;0.0009;0;0.0028;0.001;0.003;0;0.0005;0.0035;0.006;0.0007;0.0402;0.0001;0.0098;0.1207;0;0.0001;0.0051;0.0026;0.004;0.0095;0.0019;0.0016;0.001;0.0001;0;0.001;0.0001;0.0031;0.0027;0;0.0157;0.0001;0.0557;0.0056;0;0;0.0013;0.0115;0;0;0.0045;0;0.0068;0.0024;0.0006;0;0.0012;0;0.0002;0.002;0;0;0;0.0001;0.0089;0;0;0;0.0003;0;0.0003;0.0017
Paenibacillus bovis;0;0;0;0.0001;0.0001;0.0003;0;0.0005;0;0;0.001;0;0;0;0.0046;0;0;0.0003;0;0.0002;0;0.0003;0;0.0002;0;0.0002;0;0.0001;0.0001;0.0001;0;0;0.0002;0.0005;0.0009;0;0;0.0003;0;0.0004;0.0254;0;0.0024;0.0326;0;0.0001;0.0004;0.0006;0.0003;0.0013;0.0006;0.0007;0.0006;0.0001;0;0.0005;0;0.0008;0;0;0.0025;0.0001;0.0128;0;0;0;0.0002;0.0022;0;0;0.0006;0;0.002;0.0042;0;0;0.0015;0;0;0.0011;0;0;0;0;0.0003;0;0;0;0.0002;0;0.0001;0
Paenibacillus borealis;0;0;0;0.0001;0;0.0003;0;0.0001;0;0;0.0022;0;0;0;0.0042;0;0;0.003;0;0.0006;0.0007;0.0004;0;0.0001;0;0.0003;0;0.0001;0;0.0001;0;0;0.0005;0.0006;0.0003;0;0;0;0.001;0.0035;0.0623;0;0.0004;0.0428;0;0.0003;0.0014;0.0006;0.0005;0.0003;0.0005;0.0007;0.0001;0;0;0.0003;0;0.0005;0;0;0.0059;0;0.0485;0;0.0004;0;0;0.0094;0;0;0.0049;0;0.0015;0.0425;0;0;0;0.0001;0;0;0;0;0;0;0;0.0002;0;0;0;0.0001;0;0.0008
Paenibacillus beijingensis;0;0;0;0;0.0001;0;0;0.0011;0;0;0.0003;0.0001;0;0;0.0007;0;0;0.0008;0;0.0007;0;0;0.0001;0;0;0;0;0;0;0.0001;0.0001;0;0.0011;0;0;0;0.0004;0.0017;0.0012;0.0047;0.0108;0;0.0017;0.0546;0;0;0;0.0001;0.0009;0.001;0.0004;0.0013;0.0008;0;0;0.0003;0;0.0005;0.0002;0;0.0008;0;0;0.0035;0.0067;0;0.0002;0;0;0;0.0008;0;0.0018;0.0019;0;0;0;0;0.0001;0.0009;0;0;0;0;0;0;0.0001;0;0;0;0.0003;0.001
Paenarthrobacter aurescens;0;0;0;0.0001;0;0.0004;0;0.0007;0;0;0.0034;0;0;0;0.0003;0;0;0.0022;0;0.0013;0.0004;0.0003;0.0001;0.0002;0;0.0016;0;0.0005;0.0001;0.0007;0.0026;0;0.0006;0.0016;0.0012;0;0;0.0052;0.0118;0.0033;0.0727;0.0002;0.0583;0.0759;0.2162;0.0008;0.002;0.001;0.0036;0.0021;0.0007;0.0011;0.0013;0.0001;0.004;0.0003;0.0001;0.004;0.0018;0;0.0049;0.0001;0.0243;0.0001;0.0063;0.0253;0.0019;0.0361;0.1216;0;0.004;0.0001;0.0003;0.1897;0;0.0026;0.0069;0.0001;0.0005;0.0062;0;0.0001;0;0;0.0009;0.0001;0.0001;0;0;0.0001;0;0.0022
Paenalcaligenes hominis;0;0.0001;0;0.0003;0.0008;0.0002;0;0;0;0;0.0056;0.0002;0;0;0.0003;0;0;0;0;0.0023;0.0007;0.0001;0.0003;0;0;0.0003;0.0011;0;0;0;0.0034;0;0;0;0;0;0;0.0007;0.0026;0.0006;0.023;0.0002;0.0505;0.013;0.0137;0.0001;0;0;0.0005;0;0.0005;0.0009;0.0001;0.0001;0;0.0008;0;0.0007;0;0;0.0006;0;0;0.005;0;0.001;0.0007;0.0264;0.0033;0;0.0026;0;0.009;0.1414;0.0003;0;0.0015;0.0007;0;0.0008;0;0.0003;0;0.0001;0;0;0.0005;0;0;0;0.0009;0.0012
Oxalobacter formigenes;0;0;0;0;0.0003;0.0002;0;0.0003;0;0;0;0;0;0;0;0;0;0.0006;0;0.0004;0;0.0004;0;0;0;0.0007;0;0.0003;0;0.0003;0;0;0;0.0008;0.0007;0;0;0.0014;0.0023;0;0.01;0;0;0;0;0;0.0009;0;0;0.0033;0.0005;0.0124;0.001;0;0;0.0002;0.0006;0.0008;0;0.0002;0.0018;0;0.0209;0;0;0;0;0.0024;0;0;0.0047;0;0.0018;0.4392;0.0052;0;0;0.0037;0;0.0015;0;0;0;0;0.0006;0;0;0;0;0;0.0021;0.0014
Owenweeksia hongkongensis;0;0;0;0.0001;0;0.0013;0;0.0013;0;0;0.0012;0.0002;0;0;0.0012;0;0.0002;0.0011;0;0;0.0004;0.0002;0.0001;0.0001;0.0001;0.0008;0.0002;0.0006;0.0001;0.001;0;0;0.0019;0.0007;0.003;0;0;0.0009;0.007;0.001;0.0248;0;0.0048;0.1134;0;0.0001;0.0034;0.0016;0.0012;0.0072;0.0015;0.0017;0.0008;0.0002;0;0.0006;0.0001;0.002;0.0005;0.0004;0.0049;0;0.058;0.0086;0;0.0035;0;0.0252;0;0;0.0006;0;0.0015;0.0084;0;0;0.0002;0.0001;0.0006;0.004;0;0;0;0.0001;0.0016;0;0.0003;0;0;0.0001;0.0018;0.0014
Ottowia sp;0;0.0093;0;0.0007;0.053;0.0025;0;0.0035;0;0.0032;0.0092;0.0887;0.0001;0;0.0765;0.0002;0;0.0072;0.0306;0.0522;0.0073;0.0027;0.0001;0.0042;3.5748;0.0273;0.0048;0.0018;0;0.0166;0;0.0002;0.0104;0.0915;0.0202;0.0002;0;0.0027;0;0.0008;0.1228;0;0.0055;0.2147;0;0.0038;0.1086;0.0717;0.0102;0.0305;0.02;0.0258;0.0017;0.0004;0;0.051;0.0006;0.0078;0;0.0003;0.0955;0;0.1028;0.0009;0;0;0.0014;0.0769;0;0.0002;0.0208;0;0.017;0.1299;0;0;0.0003;0.0006;0.0014;0;0.0002;0.0001;0;0.0019;0;0.0111;0.0002;0;0;0.0003;0.0337;0.0156
Oscillibacter valericigenes;0;0;0;0.0002;0.0002;0.0005;0;0.0003;0;0;0.0036;0;0;0;0.0032;0;0;0.0027;0;0.0014;0.0004;0.0001;0;0.0002;0;0.0002;0;0.0003;0.0001;0.0006;0.0003;0;0;0.0003;0.0006;0;0;0.0012;0.0016;0.0011;0.014;0;0.0103;0;0;0.0004;0.0041;0.0009;0.0011;0.0025;0.001;0.002;0.0024;0.0001;0;0.0012;0;0.0032;0.0001;0;0.0014;0;0.0078;0;0;0;0;0.0067;0;0;0.001;0;0.002;0;0;0;0.0002;0;0;0;0;0;0;0.0001;0.0002;0.0001;0;0;0;0;0.0003;0.001
Oscillatoria nigro;0;0;0;0;0.0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0001;0;0;0;0.0002;0;0;0.0002;0;0.0002;0;0;0;0;0;0;0;0.0009;0.224;0.0025;0;0.0002;0;0.0009;0;0.0001;0.0003;0;0;0;0.0002;0;0;0.0001;0;0;0;0;0.0001;0;0.0004;0;0.0016;0.0012;0;0;0;0;0;0;0;0;0;0.0001;0;0.0002;0;0;0;0;0;0;0;0;0;0;0
Oscillatoria acuminata;0;0;0;0;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0016;0;0;0;0;0;0;0.0002;0.0006;0;0;0;0;0;0;0;0;0.0015;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0002;0;0;0
Ornithobacterium rhinotracheale;0;0.0001;0.0004;0.0005;0.0041;0.004;0;0.0039;0;0.0001;0.0076;0.0004;0;0;0.0003;0.0001;0;0.0003;0;0.0081;0;0.005;0.0005;0.0003;0;0.0044;0.0004;0.0007;0;0.0014;0;0;0.0032;0.0016;0.0108;0;0;0.003;0.0064;0.0017;0.1033;0;0.0081;0.16;0.0153;0.001;0.0122;0.0251;0.0039;0.0103;0.0036;0.0085;0.0013;0.0004;0.0019;0.0027;0.0001;0.0019;0.003;0.0013;0.0038;0.0003;0.0322;0.0051;0.0054;0;0.0008;0.0321;0.0074;0.0002;0.0201;0;0.0188;0.0466;0.0014;0;0.002;0.0009;0.0028;0.0207;0.0001;0;0;0.0006;0.0009;0.0002;0.0011;0;0.0003;0.0011;0.0018;0.0158
Orientia tsutsugamushi;0;0;0;0;0.0003;0.0006;0;0;0;0;0.0016;0.0001;0;0;0.0081;0;0.0002;0.0005;0;0.0015;0;0;0;0;0;0.0028;0;0.0008;0;0.0002;0;0;0.0013;0;0.0009;0;0;0;0.0035;0.0004;0;0;0;0.2085;0;0;0.0039;0.0024;0;0.0014;0.0015;0.0013;0.0003;0;0;0;0.0001;0;0;0.0002;0;0.0001;0.0043;0.0037;0;0;0;0.0177;0;0;0.0011;0;0.009;0;0;0;0;0.0005;0.0004;0.0034;0;0;0;0;0;0;0;0;0;0.0001;0.0002;0.0156
Opitutus terrae;0;0;0;0;0;0.0002;0;0;0;0;0.0007;0;0;0;0.0005;0;0.0001;0.0001;0;0;0;0.0001;0;0;0;0.0005;0;0;0;0;0;0;0.0002;0.0001;0.0053;0;0;0;0.0002;0;0;0;0.0005;0.0176;0;0;0.0025;0.0005;0.0006;0.0007;0.0004;0.0005;0.0001;0;0;0.0001;0;0.0001;0.0005;0;0;0;0.0087;0;0;0;0;0.003;0;0;0.0012;0;0.0005;0;0;0;0.0004;0;0;0.0001;0;0;0;0;0;0.0002;0;0;0;0;0;0
Opitutaceae bacterium;0;0;0;0;0.0001;0.0005;0;0.0005;0;0;0.0139;0.0001;0;0;0.0044;0;0;0.0005;0;0.0007;0;0.0013;0;0.0002;0;0.0067;0;0.0003;0;0.0002;0.0001;0;0;0.0003;0.0029;0;0.0003;0.0001;0.0017;0.004;0.0102;0.0004;0.0013;0.2623;0.0025;0.0001;0.0017;0.0012;0.0005;0.0028;0.0013;0.0022;0.0002;0;0;0.0001;0;0.0001;0.0001;0.0001;0.0014;0;0.0458;0;0;0.003;0.0002;0.0218;0.0145;0;0.0058;0;0.0064;0.0015;0;0;0.0006;0.0001;0.0002;0.0005;0;0.0001;0;0.0001;0.0001;0.0002;0;0;0;0;0.0001;0.0009
Onion yellows;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Olsenella uli;0;0;0.0002;0.0015;0;0.012;0.0284;0.0023;0;0;0.0065;0.0004;0;0.0001;0.0058;0;0;0.0159;0;0.001;0.0026;0.0005;0;0;0.0002;0.002;0.0005;0.0008;0.0005;0.0049;0.0003;0;0.0006;0.0008;0.0041;0;0;0.0226;0.0089;0.0055;0.4226;0.0013;0.0268;0.085;0.009;0.0027;0.0093;0.0054;0.0245;0.0107;0.0054;0.0056;0.0136;0.0002;0.0213;0.0086;0.0001;0.0165;0.0005;0.0011;0.0743;0.0004;0.4439;0;0.0094;0;0.001;0.1587;0.3848;0.0002;0.0022;0;0.0015;0.0327;0;0.0125;0.0062;0.0003;0.0004;0.0018;0;0;0;0;0.0003;0;0;0.0002;0.0008;0;0.001;0.0005
Olleya sp;0;0;0;0.0001;0.0008;0.0001;0;0.0002;0;0;0.002;0.0003;0;0;0;0;0.0004;0.0002;0;0.0012;0;0;0.0001;0.0001;0.0001;0.0013;0;0.0001;0;0.0006;0;0;0.0003;0.001;0.0009;0;0.0005;0.001;0.0026;0.0017;0.0316;0.0001;0;0.0081;0;0.0001;0.0029;0.0035;0.001;0.0057;0.0009;0.0018;0.0005;0.0001;0;0.0003;0.0001;0.0014;0.0008;0.0001;0.0066;0;0.0239;0.0011;0.0007;0;0;0.0082;0;0;0.0053;0.0001;0.0017;0.0078;0.0008;0;0.0002;0;0;0.0035;0;0;0;0.0001;0.0016;0;0.0001;0;0;0;0.0002;0.0003
