Species;EMCF01;EMCF02;EMCF03;EMCF04;EMCF05;EMCF06;EMCF09;EMCF10;EMCF13;EMCF14;EMCF16;EMCF17;EMCF18;EMCF19;EMCF21;EMCF22;EMCF25;EMCF26;EMCF27;EMCF28;EMCF29;EMCF30;EMCF31;EMCF32;EMCF33;EMCF34;EMCF35;EMCF36;EMCF37;KGCF01;KGCF02;KGCF03;KGCF04;KGCF05;KGCF06;KGCF07;KGCF10;KGCF11;KGCF12;KGCF13;KGCF14;KGCF15;KGCF16;KGCF17;KGCF18;KGCF19;KGCF21;KGCF22;KGCF24;KGCF25;KGCF27;KGCF28;KGCF29;KGCF30;KGCF32;KGCF33;KGCF34;KGCF35;KGCF36;KGCF37;KGCF38;KGCF39;KGCF40;KGCF41;KGCF42;KGCF43;KGCF44;KGCF45;KGCF46;KGCF47;KGCF48;KGCF49;KGCF50;KGCF51;KGCF52;KGCF53;KGCF55;KGCF56;KGCF57;KGCF58;MCF01s1;MCF02s1;MCF03s1;MCF04s1;MCF05s1;MCF06s1;MCF07s1;MCF08s1;MCF09s1;MCF10s1;MCF11s1;MCF12s1
Flavobacterium anhuiense;0.0103;0;0.0001;0.0003;0.0005;0.0021;0;0.0005;0;0.0001;0.002;0.0001;0;0;0.0003;0;0;0.0016;0;0.0008;0;0.0016;0.0001;0.0002;0;0.0021;0.0003;0.0002;0.0001;0.0007;0;0;0.0007;0.0015;0.0014;0.0001;0;0.0017;0.0066;0.0016;0.0824;0.0001;0.0057;0.0546;0.0036;0.0002;0.002;0.0022;0.0007;0.0011;0.0019;0.0017;0.0011;0.0001;0;0.0009;0;0.0009;0.0006;0.0003;0.0033;0;0.069;0.0065;0;0;0.0001;0.0267;0.0017;0;0.0031;0;0.0029;0.0066;0;0.0002;0.0005;0;0.0002;0.006;0;0;0;0.0002;0.0004;0.0003;0;0;0.0001;0.0002;0.0014;0.01
Catenulispora acidiphila;0.01;0;0;0;0;0.0003;0;0.0006;0;0;0.0006;0.0001;0;0;0;0;0;0.0001;0;0.0001;0;0.0001;0;0;0;0.0014;0;0;0;0.0005;0.0003;0;0.0001;0.0008;0.0015;0;0;0.0009;0.0013;0.0023;0.0142;0;0.0139;0.02;0.0369;0.0002;0.002;0.0008;0.0028;0.0028;0.0004;0.0017;0.0019;0;0.0004;0.0005;0;0.0029;0.0009;0;0.0075;0.0001;0.0369;0.0001;0.0003;0.0066;0.0002;0.0402;0.0246;0;0;0;0.0013;0.0011;0;0.0003;0.0008;0;0.0002;0.0013;0;0;0;0;0;0.0001;0;0;0.0001;0;0;0.0019
Bacillus pseudomycoides;0.01;0;0;0.0003;0.0005;0.0015;0.0335;0.0023;0;0;0.0033;0.0002;0;0;0.0059;0;0.0001;0.0012;0.001;0.0093;0.001;0.0006;0;0.0005;0;0.0033;0.0007;0.0004;0.0002;0.0008;0.0001;0.0001;0.0029;0.0013;0.0062;0.0003;0;0.0034;0.0118;0.0097;0.1232;0.0002;0.0049;0.1535;0.0352;0.0001;0.0129;0.0058;0.0045;0.0029;0.0053;0.002;0.0013;0.0001;0.0009;0.0017;0.0002;0.0031;0.0029;0.0003;0.0075;0;0.1036;0.0083;0.0166;0.0005;0.0014;0.017;0;0;0.0066;0.0003;0.0141;0.0898;0.0002;0;0.0032;0.0001;0.0006;0.0032;0;0;0;0.0001;0.0008;0.0003;0.0005;0;0;0.0006;0.0003;0.007
Bordetella genomosp;0.0098;0;0;0;0.0001;0.0001;0;0;0;0;0;0.0007;0;0;0.0042;0;0;0.0001;0;0.0002;0.001;0;0;0.0001;0;0.0008;0.0001;0;0;0.0001;0;0;0;0.0018;0.0003;0;0;0;0;0;0;0;0;0;0;0.0001;0;0.0021;0.0014;0.0008;0.0007;0.0014;0.0002;0.0001;0.0004;0.0029;0;0.0006;0;0;0.0003;0;0.0064;0;0;0;0;0.0033;0;0;0;0;0.0003;0.0021;0;0;0;0;0;0;0;0;0;0;0;0.0013;0;0;0;0;0.0001;0.0017
Marinifilaceae bacterium;0.0092;0;0;0.0001;0.0001;0.0008;0;0.0005;0;0;0.0026;0.0001;0;0;0.002;0;0.0001;0.0001;0.0005;0.0009;0;0.0001;0.0001;0;0;0.001;0.0003;0.0001;0.0002;0.0006;0.0002;0;0.0004;0.0006;0.0011;0;0;0.0022;0.002;0.0018;0.0325;0.0001;0.0028;0.0122;0.0032;0.0001;0.0016;0.0017;0.0017;0.0058;0.001;0.001;0.0002;0.0006;0.0004;0.0005;0;0.0038;0.0005;0.0001;0.0048;0;0.015;0.002;0;0;0.0001;0.0062;0;0.0001;0.0026;0.0002;0.0034;0.0039;0;0.0002;0.0003;0.0001;0;0.0036;0;0;0;0;0.0006;0.0001;0;0;0.0001;0.0001;0.0006;0.0027
Bacteroides thetaiotaomicron;0.0084;0;0.0004;0.0008;0.0013;0.0037;0.028;0.0069;0;0;0.0144;0.0007;0.0001;0.0001;0.0229;0;0.0004;0.0052;0;0.0013;0.0003;0.003;0.0002;0.0008;0.0001;0.0111;0.0014;0.0024;0.0004;0.005;0.0002;0;0.0018;0.0042;0.0331;0.0001;0;0.0115;0.0141;0.0122;0.1286;0.0003;0.0351;0.223;0.0176;0.0003;0.0305;0.0159;0.0115;0.0382;0.0096;0.0053;0.0047;0.0009;0;0.0076;0.0006;0.0177;0.001;0.0008;0.0355;0;0.2004;0.0048;0.0015;0.0004;0.0017;0.0653;0;0;0.0209;0.0008;0.0221;0.0393;0.001;0.0019;0.0115;0.0001;0.0015;0.0099;0;0;0;0.0011;0.0031;0.0006;0.0063;0;0.0007;0.0009;0.0016;0.0248
Paenibacillus riograndensis;0.0066;0;0.0001;0.0001;0;0;0;0.0012;0;0;0.0011;0.0001;0;0;0.0013;0;0.0001;0.0004;0;0.0019;0.0005;0;0;0.0001;0;0.0011;0;0.0002;0.0001;0.0007;0;0;0.0003;0.0004;0.0016;0;0.0006;0.0007;0.0048;0.0038;0.0031;0;0.0057;0.0397;0;0;0.0052;0.0009;0.0021;0.0116;0.0008;0.0007;0.0005;0;0.0009;0.001;0;0.0028;0.0001;0.0001;0.0154;0.0001;0.0543;0;0.0004;0;0.0004;0.0247;0;0;0.0009;0;0.0051;0;0;0;0.0028;0;0.0001;0.0004;0;0;0;0;0.0001;0;0;0;0;0;0.0004;0.0004
Candidatus Solibacter;0.0053;0;0.0001;0;0;0.0001;0;0;0;0;0;0;0;0;0.0002;0;0;0;0.0003;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0.0001;0.0001;0;0;0;0;0.0015;0.0003;0.0037;0;0;0;0;0.0001;0.0015;0;0.0006;0.0018;0.0002;0.0002;0.0002;0;0;0;0;0.0006;0.0008;0;0.0015;0;0.0095;0.0001;0;0;0;0.0012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zymomonas mobilis;0;0;0;0;0;0;0;0;0;0;0.0004;0;0;0;0;0;0;0.0002;0;0.002;0.0009;0;0;0;0;0.0004;0;0;0;0;0.0014;0;0.0006;0.0012;0;0;0;0.0022;0;0.0004;0.012;0;0;0;0.0358;0.0001;0;0;0.0003;0.002;0.0006;0.0002;0;0.0002;0;0.0019;0;0.0004;0.0008;0;0.0007;0;0.0084;0.0007;0.0469;0.0108;0;0.0288;0;0;0.0006;0;0.0095;0;0;0;0.0015;0;0;0.0011;0;0;0;0.0002;0;0.0002;0;0;0;0;0;0.0016
Zunongwangia profunda;0;0.0001;0.0001;0.0002;0.0003;0.0003;0;0;0;0.0002;0.0012;0;0;0;0.0048;0;0.0002;0;0;0.0002;0;0.0001;0.0001;0;0;0.0017;0.0007;0.0002;0;0.0002;0.0001;0;0.0012;0.0002;0.0034;0;0;0.0012;0.0033;0.0009;0.0193;0.0001;0.0202;0.0272;0;0.0003;0.0037;0.0022;0.0018;0.0062;0.0025;0.0022;0.0004;0;0;0.0011;0;0.0006;0.0002;0.0002;0.0029;0;0.0369;0.0042;0.0019;0.0005;0.0003;0.0023;0;0;0.0038;0.0001;0.0035;0.0196;0.0003;0.0004;0;0.0001;0.0005;0.0076;0;0;0;0.0002;0.003;0;0.0001;0;0.0001;0.0004;0.0003;0.005
Zobellia galactanivorans;0;0;0;0.0002;0.0005;0.0005;0;0.0009;0;0;0.0017;0.0001;0;0;0.0019;0;0;0.0008;0;0;0;0.0001;0;0;0;0.0006;0.0009;0;0;0.0002;0;0.0001;0.0005;0.0001;0.0038;0.0001;0;0.0005;0.0058;0.0003;0.0157;0.0002;0.0023;0.0822;0.0067;0.0001;0.0026;0.0016;0.0016;0.0017;0.001;0.0007;0.0007;0;0;0.0015;0.0001;0.0011;0.0019;0.0001;0.0027;0;0.0296;0.0027;0;0;0.0001;0.0032;0;0;0.0025;0;0.0005;0.0182;0.0003;0;0.0003;0;0;0.0008;0;0;0;0;0;0.0001;0.0041;0;0.0001;0;0.0005;0.0006
Zobellella denitrificans;0;0.0001;0;0;0;0;0.014;0.0002;0;0.0001;0.0009;0.0004;0;0;0.0015;0;0;0;0;0;0;0.0001;0;0;0;0;0;0.0001;0;0.0001;0;0;0;0.0007;0.0002;0;0;0.0004;0.003;0.0012;0;0.0002;0.0108;0;0.0221;0;0;0;0.0009;0.0007;0.0001;0.0002;0.0002;0;0;0.0008;0;0.0031;0;0;0;0.0001;0.0021;0.0002;0;0.002;0.0002;0;0.0149;0;0;0;0;0;0;0;0;0.0001;0;0.0005;0;0.0001;0;0.0001;0;0.0001;0;0;0;0;0;0.0005
Zhongshania aliphaticivorans;0;0;0;0;0;0;0;0.0003;0;0;0.0002;0;0;0;0;0;0;0.0002;0;0.0002;0;0;0;0;0;0.0002;0;0;0;0;0;0;0;0;0.0031;0;0;0.0002;0;0.0002;0.0118;0;0.0215;0;0.0044;0;0.0016;0.0008;0.0007;0.0007;0.0026;0.0005;0.0001;0;0.0038;0.0001;0;0.0001;0.001;0;0;0.0002;0.0102;0.0002;0;0.0013;0.0025;0.0592;0;0;0.0038;0;0.0014;0;0.0045;0.0022;0.0036;0.0002;0.001;0.0038;0;0;0;0;0;0;0.0002;0;0;0;0.0001;0.0008
Yersinia sp;0;0;0;0;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0002;0;0;0;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0003;0;0;0.0001;0.0003;0;0;0;0;0;0;0;0.0008;0;0;0;0;0;0;0;0;0;0;0.0007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0001;0
