Species;SRR3284698_CF;SRR3284701_CF;SRR3284702_CF;SRR3284703_CF;SRR3284706_CF;SRR3286490_CF;SRR3286491_CF;SRR3286492_CF;SRR3286493_CF;SRR3286494_CF;SRR3286495_CF
Fictibacillus arsenicus;0;0;0.00005;0;0;0;0.00005;0.00021;0;0;0
gossypii ATCC;0;0;0;0;0;0;0;0;0;0;0
Pseudomonas corrugata;0;0;0;0;0;0;0;0.00007;0;0;0
Mobiluncus curtisii;0;0;0;0;0.0001;0;0;0;0;0.0001;0
Ralstonia phage;0;0;0;0;0;0;0;0;0;0;0
Rhodoferax antarcticus;0;0.00005;0.00005;0;0;0;0;0;0;0;0
Bacillus dafuensis;0;0;0.00004;0;0;0.00004;0.00004;0.00035;0;0;0
Pandoraea oxalativorans;0;0;0;0;0;0;0;0.00008;0;0;0
Polynucleobacter difficilis;0;0;0;0;0;0;0;0.00011;0;0;0
Paenibacillus antarcticus;0;0;0;0;0;0;0;0.00016;0;0;0
Methanoregula formicica;0;0;0;0;0;0;0;0.00015;0;0;0
Lactobacillus kefiranofaciens;0;0;0;0;0;0;0;0;0;0;0
Nostocales cyanobacterium;0.00006;0.00003;0;0.00006;0.00003;0;0;0;0.00003;0;0
Bernardetia litoralis;0;0;0;0;0.00004;0;0;0;0;0;0
Staphylococcus kloosii;0;0.00008;0;0;0;0.00008;0;0.00033;0;0;0
Cellulophaga algicola;0;0;0;0;0;0;0;0.00004;0;0;0
Arcobacter butzleri;0;0;0;0;0;0;0.00009;0;0;0;0
Thauera humireducens;0;0;0;0;0;0;0;0.00005;0;0;0
Brucella suis;0;0;0;0;0;0;0;0;0;0;0
Streptomyces asterosporus;0.00003;0;0;0.00003;0;0;0.00003;0;0;0;0
Parasedimentitalea marina;0;0;0;0;0.0001;0;0;0;0;0;0
Bordetella flabilis;0;0;0;0;0;0;0;0;0;0;0.00007
Bacillus bombysepticus;0.00045;0.00028;0;0;0;0;0;0;0.00057;0.00053;0
Corynebacterium resistens;0;0.00025;0;0;0;0;0.00058;0.00017;0;0;0
Mycoplasma cloacale;0;0;0.00033;0;0;0;0;0;0;0;0
Deinococcus maricopensis;0;0;0;0;0;0;0;0.00012;0;0;0
Sphingobium hydrophobicum;0;0;0;0;0;0;0;0;0;0;0
Burkholderia thailandensis;0.00162;0.00105;0.00052;0.00042;0.00037;0.00034;0.00033;0.00029;0.00028;0.00023;0.00017
Microbacteriaceae bacterium;0;0;0;0;0;0;0;0.00025;0;0;0.00041
Paracoccus pantotrophus;0;0;0;0;0;0;0;0;0.0001;0;0
Methanosarcina siciliae;0;0;0;0;0;0;0;0;0;0;0
